Conf,Div,Team,W,L,Pct,Playoffs,Top seed
E,AT,Toronto Raptors,51,31,0.622,99,38
E,AT,Boston Celtics,45,37,0.549,90,4
E,AT,Philadelphia 76ers,42,40,0.512,71,0
E,AT,Brooklyn Nets,41,41,0.5,63,0
E,AT,New York Knicks,37,45,0.451,30,0
E,CE,Milwaukee Bucks,52,30,0.634,99,44
E,CE,Indiana Pacers,45,37,0.549,89,3
E,CE,Detroit Pistons,40,42,0.488,52,0
E,CE,Chicago Bulls,34,48,0.415,9,0
E,CE,Cleveland Cavaliers,30,52,0.366,1,0
E,SE,Charlotte Hornets,46,36,0.561,94,6
E,SE,Miami Heat,42,40,0.512,72,0
E,SE,Orlando Magic,34,48,0.415,11,0
E,SE,Atlanta Hawks,33,49,0.402,6,0
E,SE,Washington Wizards,33,49,0.402,5,0
W,NW,Denver Nuggets,49,33,0.598,97,25
W,NW,Portland Trail Blazers,49,33,0.598,97,23
W,NW,Oklahoma City Thunder,45,37,0.549,82,4
W,NW,Utah Jazz,41,41,0.5,53,0
W,NW,Minnesota Timberwolves,35,47,0.427,7,0
W,PA,Golden State Warriors,51,31,0.622,98,37
W,PA,Los Angeles Clippers,44,38,0.537,78,3
W,PA,Sacramento Kings,41,41,0.5,48,0
W,PA,Los Angeles Lakers,40,42,0.488,40,0
W,PA,Phoenix Suns,31,51,0.378,0,0
W,SW,Memphis Grizzlies,43,39,0.524,68,1
W,SW,San Antonio Spurs,43,39,0.524,63,1
W,SW,New Orleans Pelicans,40,42,0.488,42,0
W,SW,Houston Rockets,36,46,0.439,11,0
W,SW,Dallas Mavericks,35,47,0.427,8,0
