Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,56,26,0.683,100,29,2019-02-21
E,AT,Boston Celtics,50,32,0.61,100,0,2019-02-21
E,AT,Philadelphia 76ers,50,32,0.61,99,0,2019-02-21
E,AT,Brooklyn Nets,41,41,0.5,84,0,2019-02-21
E,AT,New York Knicks,22,60,0.268,0,0,2019-02-21
E,CE,Milwaukee Bucks,58,24,0.707,99,69,2019-02-21
E,CE,Indiana Pacers,51,31,0.622,100,0,2019-02-21
E,CE,Detroit Pistons,39,43,0.476,49,0,2019-02-21
E,CE,Chicago Bulls,24,58,0.293,0,0,2019-02-21
E,CE,Cleveland Cavaliers,22,60,0.268,0,0,2019-02-21
E,SE,Charlotte Hornets,39,43,0.476,58,0,2019-02-21
E,SE,Miami Heat,39,43,0.476,51,0,2019-02-21
E,SE,Orlando Magic,38,44,0.463,45,0,2019-02-21
E,SE,Washington Wizards,36,46,0.439,10,0,2019-02-21
E,SE,Atlanta Hawks,30,52,0.366,0,0,2019-02-21
W,NW,Denver Nuggets,52,30,0.634,99,21,2019-02-21
W,NW,Oklahoma City Thunder,50,32,0.61,99,6,2019-02-21
W,NW,Portland Trail Blazers,47,35,0.573,95,0,2019-02-21
W,NW,Utah Jazz,46,36,0.561,88,0,2019-02-21
W,NW,Minnesota Timberwolves,39,43,0.476,8,0,2019-02-21
W,PA,Golden State Warriors,55,27,0.671,100,71,2019-02-21
W,PA,Los Angeles Clippers,44,38,0.537,69,0,2019-02-21
W,PA,Sacramento Kings,42,40,0.512,40,0,2019-02-21
W,PA,Los Angeles Lakers,40,42,0.488,15,0,2019-02-21
W,PA,Phoenix Suns,21,61,0.256,0,0,2019-02-21
W,SW,Houston Rockets,46,36,0.561,90,0,2019-02-21
W,SW,San Antonio Spurs,45,37,0.549,83,0,2019-02-21
W,SW,Dallas Mavericks,38,44,0.463,5,0,2019-02-21
W,SW,New Orleans Pelicans,38,44,0.463,2,0,2019-02-21
W,SW,Memphis Grizzlies,34,48,0.415,0,0,2019-02-21
