Conf,Div,Team,W,L,Pct,Playoffs,Top.seed,Date
E,AT,Toronto Raptors,56,26,0.683,100,16,2019-02-28
E,AT,Philadelphia 76ers,50,32,0.61,100,0,2019-02-28
E,AT,Boston Celtics,48,34,0.585,100,0,2019-02-28
E,AT,Brooklyn Nets,41,41,0.5,90,0,2019-02-28
E,AT,New York Knicks,22,60,0.268,0,0,2019-02-28
E,CE,Milwaukee Bucks,59,23,0.72,100,83,2019-02-28
E,CE,Indiana Pacers,51,31,0.622,99,0,2019-02-28
E,CE,Detroit Pistons,40,42,0.488,73,0,2019-02-28
E,CE,Chicago Bulls,26,56,0.317,0,0,2019-02-28
E,CE,Cleveland Cavaliers,23,59,0.28,0,0,2019-02-28
E,SE,Charlotte Hornets,38,44,0.463,45,0,2019-02-28
E,SE,Miami Heat,38,44,0.463,38,0,2019-02-28
E,SE,Orlando Magic,38,44,0.463,43,0,2019-02-28
E,SE,Washington Wizards,35,47,0.427,9,0,2019-02-28
E,SE,Atlanta Hawks,30,52,0.366,0,0,2019-02-28
W,NW,Denver Nuggets,54,28,0.659,100,38,2019-02-28
W,NW,Oklahoma City Thunder,50,32,0.61,99,2,2019-02-28
W,NW,Portland Trail Blazers,49,33,0.598,99,1,2019-02-28
W,NW,Utah Jazz,46,36,0.561,93,0,2019-02-28
W,NW,Minnesota Timberwolves,39,43,0.476,8,0,2019-02-28
W,PA,Golden State Warriors,55,27,0.671,100,57,2019-02-28
W,PA,Los Angeles Clippers,44,38,0.537,76,0,2019-02-28
W,PA,Sacramento Kings,41,41,0.5,31,0,2019-02-28
W,PA,Los Angeles Lakers,40,42,0.488,15,0,2019-02-28
W,PA,Phoenix Suns,21,61,0.256,0,0,2019-02-28
W,SW,Houston Rockets,47,35,0.573,97,0,2019-02-28
W,SW,San Antonio Spurs,44,38,0.537,75,0,2019-02-28
W,SW,Dallas Mavericks,37,45,0.451,1,0,2019-02-28
W,SW,New Orleans Pelicans,37,45,0.451,0,0,2019-02-28
W,SW,Memphis Grizzlies,33,49,0.402,0,0,2019-02-28
